universe_index,family,taxon,issue,detail
760,RANUNCULACEAE,Delphinium halteratum subsp. verdunense,NO_API_TAXON,
761,POACEAE,Deschampsia cespitosa subsp. media,NO_EXACT_TAXON_MATCH,
762,POACEAE,Deschampsia cespitosa subsp. subtriflora,NO_EXACT_TAXON_MATCH,
763,POACEAE,Deschampsia flexuosa,NO_API_TAXON,
764,POACEAE,Deschampsia hispanica,NO_API_TAXON,
766,APIACEAE,Dethawia splendens subsp. cantabrica,NO_API_TAXON,
768,CARYOPHYLLACEAE,Dianthus armeria subsp. armeria,NO_EXACT_TAXON_MATCH,
769,CARYOPHYLLACEAE,Dianthus broteri,NO_API_TAXON,
770,CARYOPHYLLACEAE,Dianthus carthusianorum,NO_API_TAXON,
772,CARYOPHYLLACEAE,Dianthus hyssopifolius,NO_API_TAXON,
774,CARYOPHYLLACEAE,Dianthus lusitanus,NO_API_TAXON,
775,CARYOPHYLLACEAE,Dianthus pungens subsp. brachyanthus,NO_API_TAXON,
776,CARYOPHYLLACEAE,Dianthus pungens subsp. hispanicus,NO_API_TAXON,
777,APIACEAE,Dichoropetalum carvifolia,NO_API_TAXON,
778,PLANTAGINACEAE,Digitalis obscura,NO_API_TAXON,
779,PLANTAGINACEAE,Digitalis parviflora,NO_API_TAXON,
781,PLANTAGINACEAE,Digitalis purpurea subsp. purpurea,NO_EXACT_TAXON_MATCH,
785,BRASSICACEAE,Diplotaxis erucoides subsp. erucoides,NO_EXACT_TAXON_MATCH,
789,BRASSICACEAE,Diplotaxis virgata subsp. virgata,NO_EXACT_TAXON_MATCH,
791,CAPRIFOLIACEAE,Dipsacus sativus,NO_API_TAXON,
794,ASTERACEAE,Doronicum carpetanum subsp. diazii,NO_EXACT_TAXON_MATCH,
795,ASTERACEAE,Doronicum diazii,NO_API_TAXON,
796,ASTERACEAE,Doronicum pardalianches,NO_API_TAXON,
798,FABACEAE,Dorycnium gracile,NO_API_TAXON,
799,FABACEAE,Dorycnium hirsutum,NO_API_TAXON,
800,FABACEAE,Dorycnium pentaphyllum,NO_API_TAXON,
801,FABACEAE,Dorycnium rectum,NO_API_TAXON,
802,BRASSICACEAE,Draba aizoides,NO_API_TAXON,
803,BRASSICACEAE,Draba aizoides subsp. aizoides,NO_API_TAXON,
804,BRASSICACEAE,Draba dedeana,NO_API_TAXON,
808,DRYOPTERIDACEAE,Dryopteris affinis subsp. affinis,NO_EXACT_TAXON_MATCH,
809,DRYOPTERIDACEAE,Dryopteris affinis var. borreri,NO_EXACT_TAXON_MATCH,
810,DRYOPTERIDACEAE,Dryopteris affinis var. robusta,NO_EXACT_TAXON_MATCH,
819,DRYOPTERIDACEAE,Dryopteris submontana,NO_API_TAXON,
820,DRYOPTERIDACEAE,Dryopteris x ambroseae,UNPARSABLE_NAME,
821,DRYOPTERIDACEAE,Dryopteris x mantoniae,UNPARSABLE_NAME,
827,BORAGINACEAE,Echium asperrimum,NO_API_TAXON,
828,BORAGINACEAE,Echium asperrinum,NO_API_TAXON,
831,BORAGINACEAE,Echium vulgare subsp. pustulatum,NO_EXACT_TAXON_MATCH,
834,CYPERACEAE,Eleocharis palustris subsp. walterssii,NO_EXACT_TAXON_MATCH,
